Module ID,Module Name,Field Key,Context,Portuguese (Source),EN,ES,FR,RU,AR,ZH,EL,HI
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",epidemiologia.incidencia,"Incidence data","Incidência anual global de demência ~10 milhões de novos casos . Para Alzheimer, ~5-10 por 1.000 pessoas-ano em idosos >65 anos .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",epidemiologia.mortalidade,"Mortality data","Alzheimer é a 7ª principal causa de morte global, com ~2 milhões de óbitos anuais . No Brasil, contribui para 5-10% das mortes em idosos .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",titulo,"Module title","Rastreamento de Transtornos de Ansiedade","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",descricao,"Module description","Os transtornos de ansiedade representam um grupo de condições psiquiátricas comuns, caracterizadas por preocupação excessiva e medo, impactando a funcionalidade diária . O rastreamento precoce em atenção primária é crucial para identificar casos e iniciar intervenções, reduzindo o risco de cronicidade . No contexto brasileiro, a integração ao SUS promove acesso equitativo ao diagnóstico .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",sus.indicacao,"SUS screening indication","Rastreamento indicado para indivíduos com sintomas persistentes de ansiedade em atenção básica, incluindo adultos e adolescentes com queixas emocionais .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",sus.populacaoAlvo,"SUS target population","Adultos ≥18 anos com fatores de risco como estresse crônico ou comorbidades; adolescentes com sinais de sofrimento psicológico .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",sus.periodicidade,"SUS screening frequency","Avaliação inicial e follow-up anual ou conforme necessidade clínica .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",sociedadesMedicas.indicacao,"Medical societies screening indication","A American Psychiatric Association (2023) recomenda rastreamento sistemático em adultos com sintomas de ansiedade em contextos de atenção primária .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",epidemiologia.prevalencia,"Prevalence data","A prevalência global de transtornos de ansiedade é de aproximadamente 4% em adultos . No Brasil, estima-se em 9,3% da população adulta .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",epidemiologia.incidencia,"Incidence data","A incidência anual varia de 2-5% em populações adultas . No contexto brasileiro, cerca de 3% novos casos por ano .","","","","","","","",""
ansiedade,"Rastreamento de Transtornos de Ansiedade",epidemiologia.mortalidade,"Mortality data","Baixa mortalidade direta, mas associada a 20-30% de risco aumentado de suicídio . No Brasil, contribui indiretamente para 5% das mortes por causas externas .","","","","","","","",""
asma,"Manejo da Asma",titulo,"Module title","Manejo da Asma","","","","","","","",""
asma,"Manejo da Asma",descricao,"Module description","A asma é uma doença inflamatória crônica das vias aéreas caracterizada por episódios recorrentes de sibilância, dispneia, aperto torácico e tosse, com variabilidade ao longo do tempo e reversibilidade espontânea ou com tratamento . O manejo precoce é essencial para controle dos sintomas e prevenção de exacerbações . No contexto brasileiro, o Protocolo Clínico do SUS enfatiza o acesso a medicamentos e educação do paciente .","","","","","","","",""
asma,"Manejo da Asma",sus.indicacao,"SUS screening indication","Diagnóstico e manejo de pacientes com suspeita ou confirmação de asma, incluindo avaliação de controle e prevenção de crises . Recomendado para todos os pacientes com sintomas respiratórios persistentes ou recorrentes .","","","","","","","",""
asma,"Manejo da Asma",sus.populacaoAlvo,"SUS target population","Crianças, adolescentes e adultos com sintomas como tosse noturna, sibilância e dispneia; priorizando grupos de risco como alérgicos e fumantes .","","","","","","","",""
asma,"Manejo da Asma",sus.periodicidade,"SUS screening frequency","Avaliação clínica a cada 1-3 meses para ajuste terapêutico; monitoramento anual de função pulmonar .","","","","","","","",""
asma,"Manejo da Asma",sociedadesMedicas.indicacao,"Medical societies screening indication","A Global Initiative for Asthma (GINA 2024) recomenda diagnóstico baseado em história clínica e testes de função pulmonar, com manejo escalonado para controle . A Sociedade Brasileira de Pneumologia e Tisiologia (SBPT 2021) enfatiza abordagem personalizada e uso de ICS desde o início .","","","","","","","",""
asma,"Manejo da Asma",epidemiologia.prevalencia,"Prevalence data","A prevalência global varia de 1% a 18% em diferentes populações . No Brasil, estima-se em cerca de 10% em adultos urbanos .","","","","","","","",""
asma,"Manejo da Asma",epidemiologia.incidencia,"Incidence data","A incidência anual global é de 5-10 casos por 1.000 pessoas . No Brasil, aproximadamente 3-5% ao ano em crianças .","","","","","","","",""
asma,"Manejo da Asma",epidemiologia.mortalidade,"Mortality data","A mortalidade global é baixa, cerca de 0,1-0,2 por 100.000 habitantes, mas subnotificada em países em desenvolvimento . No Brasil, contribui para 2-3% das mortes por doenças respiratórias .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",titulo,"Module title","Celulite (Infecção Bacteriana da Pele)","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",descricao,"Module description","A celulite é uma infecção bacteriana aguda da derme e tecido subcutâneo, geralmente causada por Streptococcus ou Staphylococcus . Caracteriza-se por eritema, calor, edema e dor local . É uma das infecções de pele mais comuns, com potencial para complicações como abscessos ou sepse . No contexto brasileiro, a vigilância é essencial em populações vulneráveis .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",sus.indicacao,"SUS screening indication","Vigilância e detecção precoce de infecções de pele e partes moles em atenção básica, especialmente em casos de exposição a fatores de risco como feridas ou comorbidades .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",sus.populacaoAlvo,"SUS target population","Populações vulneráveis, incluindo diabéticos, imunossuprimidos, idosos e indivíduos em áreas endêmicas de zoonoses relacionadas .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",sus.periodicidade,"SUS screening frequency","Monitoramento contínuo e caso a caso, sem periodicidade fixa para rastreamento populacional .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",sociedadesMedicas.indicacao,"Medical societies screening indication","Diagnóstico e manejo de celulite em pacientes com sinais de infecção cutânea aguda, priorizando tratamento empírico .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",epidemiologia.prevalencia,"Prevalence data","A prevalência de celulite é estimada em 1-5% em populações gerais, com maior incidência em diabéticos (até 20%) . No Brasil, representa cerca de 10% das infecções de pele atendidas em serviços de saúde .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",epidemiologia.incidencia,"Incidence data","Incidência global de 24,6 casos por 1.000 pessoas-ano em adultos . No Brasil, estima-se 15-20 casos por 1.000 habitantes anualmente em regiões urbanas .","","","","","","","",""
celulite,"Celulite (Infecção Bacteriana da Pele)",epidemiologia.mortalidade,"Mortality data","Mortalidade baixa (1-5%) em casos não complicados, mas até 20% em sepse associada . No Brasil, contribui para 2-3% das mortes por infecções sistêmicas .","","","","","","","",""
demencia,"Demência",titulo,"Module title","Demência","","","","","","","",""
demencia,"Demência",descricao,"Module description","A demência é uma síndrome caracterizada por deterioração progressiva das funções cognitivas, acompanhada de sintomas psiquiátricos e distúrbios comportamentais que levam a incapacidade progressiva e irreversível . É a segunda principal causa de demência neurodegenerativa, com impacto significativo na qualidade de vida de pacientes e familiares . Há evidências de associação entre periodontite e demência, recomendando prevenção e manejo integrado . O diagnóstico precoce utiliza biomarcadores como PET imaging e testes sanguíneos para condições associadas, como doença de Alzheimer . Considerações éticas incluem manejo nutricional e prevenção de reações adversas a medicamentos em idosos . Investigação genética é recomendada em casos selecionados . Consensos enfatizam nutrição enteral controversa em estágios avançados .","","","","","","","",""
demencia,"Demência",sus.indicacao,"SUS screening indication","Avaliação cognitiva para idosos com suspeita de declínio cognitivo ou fatores de risco, sem programa de rastreamento populacional rotineiro, priorizando diagnóstico precoce na atenção básica ","","","","","","","",""
demencia,"Demência",sus.populacaoAlvo,"SUS target population","Idosos ≥65 anos com sintomas sugestivos, comorbidades ou fatores de risco como polimedicação e comorbidades ","","","","","","","",""
demencia,"Demência",sus.periodicidade,"SUS screening frequency","Avaliação anual em idosos sintomáticos ou a cada 1-2 anos em grupos de risco na atenção primária ","","","","","","","",""
demencia,"Demência",sociedadesMedicas.indicacao,"Medical societies screening indication","Diagnóstico utilizando biomarcadores de imagem PET e sanguíneos para condições neurodegenerativas associadas à demência, incluindo Alzheimer e demência com corpos de Lewy; prevenção de eventos adversos medicamentosos e manejo nutricional ","","","","","","","",""
demencia,"Demência",epidemiologia.prevalencia,"Prevalence data","Globalmente, a prevalência de demência em adultos >60 anos é de aproximadamente 5-8%, afetando milhões devido ao envelhecimento populacional ","","","","","","","",""
demencia,"Demência",epidemiologia.incidencia,"Incidence data","Incidência anual de cerca de 1-2% em idosos >65 anos, com aumento em populações com comorbidades como periodontite ","","","","","","","",""
demencia,"Demência",epidemiologia.mortalidade,"Mortality data","Demência contribui para cerca de 7% das mortes em idosos, com impacto significativo em qualidade de vida e autonomia ","","","","","","","",""
depressao,"Rastreamento de Depressão",titulo,"Module title","Rastreamento de Depressão","","","","","","","",""
depressao,"Rastreamento de Depressão",descricao,"Module description","A depressão é uma condição frequente, recorrente e crônica com altos níveis de incapacidade funcional . O rastreamento visa à identificação precoce em atenção primária para melhorar desfechos clínicos .","","","","","","","",""
depressao,"Rastreamento de Depressão",sus.indicacao,"SUS screening indication","Rastreamento recomendado em atenção primária para identificação de sintomas depressivos em populações vulneráveis .","","","","","","","",""
depressao,"Rastreamento de Depressão",sus.populacaoAlvo,"SUS target population","Adultos ≥18 anos com fatores de risco como estresse crônico, perdas recentes ou comorbidades .","","","","","","","",""
depressao,"Rastreamento de Depressão",sus.periodicidade,"SUS screening frequency","Oportunístico durante consultas de rotina ou anualmente em grupos de risco .","","","","","","","",""
depressao,"Rastreamento de Depressão",sociedadesMedicas.indicacao,"Medical societies screening indication","A Associação Brasileira de Psiquiatria recomenda rastreamento para diagnóstico precoce de depressão maior .","","","","","","","",""
depressao,"Rastreamento de Depressão",epidemiologia.prevalencia,"Prevalence data","No Brasil, a prevalência de depressão é estimada em 5,8% na população adulta .","","","","","","","",""
depressao,"Rastreamento de Depressão",epidemiologia.incidencia,"Incidence data","A incidência anual é de aproximadamente 3-4% em adultos .","","","","","","","",""
depressao,"Rastreamento de Depressão",epidemiologia.mortalidade,"Mortality data","A depressão contribui para cerca de 800 mil suicídios globais por ano, com impacto significativo no Brasil .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",titulo,"Module title","Dermatite Atópica","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",descricao,"Module description","A dermatite atópica é uma doença inflamatória crônica da pele, caracterizada por prurido intenso e lesões eczematosas . Afeta principalmente crianças, com prevalência global variando de 15-20% em menores de 5 anos . No Brasil, estima-se que afete cerca de 10-15% das crianças . O manejo envolve hidratação, corticoides tópicos e, em casos graves, imunossupressores .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",sus.indicacao,"SUS screening indication","Diagnóstico e manejo inicial em atenção primária para pacientes com suspeita de dermatite atópica, com encaminhamento para especialista em casos moderados a graves .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",sus.populacaoAlvo,"SUS target population","Crianças e adultos com prurido recorrente, lesões eczematosas e história familiar de atopia .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",sus.periodicidade,"SUS screening frequency","Avaliação clínica a cada 3-6 meses para controle de sintomas .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",sociedadesMedicas.indicacao,"Medical societies screening indication","A Academia Americana de Dermatologia (AAD 2023) recomenda diagnóstico baseado em critérios clínicos e manejo escalonado com emolientes e anti-inflamatórios tópicos .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",epidemiologia.prevalencia,"Prevalence data","Prevalência global em crianças: 15-20% ; em adultos: 1-3% . No Brasil: 12% em crianças urbanas .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",epidemiologia.incidencia,"Incidence data","Incidência anual global: 10-15% em lactentes ; no Brasil: aproximadamente 8-10 casos por 1.000 crianças/ano .","","","","","","","",""
dermatite-atopica,"Dermatite Atópica",epidemiologia.mortalidade,"Mortality data","Baixa mortalidade direta, mas associada a infecções secundárias (0,1-0,5% dos casos graves) ; no Brasil, contribui indiretamente para 0,2% das mortes por infecções cutâneas .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",titulo,"Module title","Diabetes Mellitus Tipo 2","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",descricao,"Module description","O diabetes mellitus tipo 2 (DM2) é uma doença metabólica crônica caracterizada por hiperglicemia resultante de defeitos na secreção de insulina e/ou ação da insulina . Representa a forma mais prevalente de diabetes, afetando milhões globalmente e sendo uma das principais causas de morbimortalidade . No contexto brasileiro, o DM2 é uma prioridade em saúde pública, com protocolos integrados para prevenção, diagnóstico e tratamento .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",sus.indicacao,"SUS screening indication","Rastreamento recomendado para adultos com sobrepeso (IMC ≥25 kg/m²) e fatores de risco, ou ≥35 anos, visando detecção precoce e prevenção de complicações .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",sus.populacaoAlvo,"SUS target population","Adultos ≥35 anos; indivíduos <35 anos com IMC ≥25 kg/m², hipertensão, dislipidemia, história familiar de DM2 ou gestantes com risco .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",sus.periodicidade,"SUS screening frequency","A cada 3 anos para indivíduos assintomáticos com glicemia normal; anualmente para aqueles com pré-diabetes ou fatores de risco elevados .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",sociedadesMedicas.indicacao,"Medical societies screening indication","A American Diabetes Association (ADA 2024) e Sociedade Brasileira de Diabetes (SBD 2023-2024) recomendam rastreamento para adultos ≥35 anos com sobrepeso ou fatores de risco, enfatizando abordagem personalizada .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",epidemiologia.prevalencia,"Prevalence data","Globalmente, afeta cerca de 10,5% dos adultos (537 milhões em 2021), projetado para 783 milhões até 2045 . No Brasil, prevalência de 7,4% em adultos (aproximadamente 19 milhões) .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",epidemiologia.incidencia,"Incidence data","Incidência global de 5,9 milhões de novos casos anuais . No Brasil, cerca de 1,5 milhão de novos casos por ano .","","","","","","","",""
diabetes-mellitus-2,"Diabetes Mellitus Tipo 2",epidemiologia.mortalidade,"Mortality data","Causa 6,7 milhões de mortes globais em 2021 (9ª causa principal) . No Brasil, responsável por 5,3% das mortes por doenças crônicas .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",titulo,"Module title","Rastreamento de Dislipidemia","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",descricao,"Module description","O rastreamento de dislipidemia é essencial para a prevenção de eventos cardiovasculares ateroscleróticos, com foco na identificação precoce de alterações lipídicas como hipercolesterolemia e hipertrigliceridemia . No Brasil, a dislipidemia é um fator de risco prevalente, contribuindo para a alta morbimortalidade cardiovascular . A abordagem integrada considera o risco cardiovascular global .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",sus.indicacao,"SUS screening indication","Rastreamento recomendado para prevenção de eventos cardiovasculares e pancreatite em indivíduos com fatores de risco ou ≥40 anos .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",sus.populacaoAlvo,"SUS target population","Adultos ≥40 anos; indivíduos <40 anos com obesidade, diabetes, hipertensão ou história familiar de doença cardiovascular precoce .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",sus.periodicidade,"SUS screening frequency","A cada 5 anos em indivíduos de baixo risco; anualmente em alto risco .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",sociedadesMedicas.indicacao,"Medical societies screening indication","A Sociedade Brasileira de Cardiologia (2017) e diretrizes ESC recomendam rastreamento para avaliação de risco cardiovascular em adultos .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",epidemiologia.prevalencia,"Prevalence data","No Brasil, a prevalência de dislipidemia é de aproximadamente 30-40% em adultos, com hipercolesterolemia afetando 25% da população . Globalmente, estima-se em 39% para hipercolesterolemia .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",epidemiologia.incidencia,"Incidence data","A incidência anual de dislipidemia em adultos é de 5-10 casos por 1.000 habitantes, associada ao envelhecimento e obesidade . No Brasil, contribui para 20% dos novos casos de doença coronariana .","","","","","","","",""
dislipidemia,"Rastreamento de Dislipidemia",epidemiologia.mortalidade,"Mortality data","A dislipidemia contribui para 4,4 milhões de mortes globais por CVD anualmente . No Brasil, representa fator em 30% das mortes cardiovasculares .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",titulo,"Module title","Rastreamento de Doença Renal Crônica","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",descricao,"Module description","A Doença Renal Crônica (DRC) é definida como anormalidades na estrutura ou função renal por mais de três meses, com implicações na saúde . A prevalência global é estimada em 9,1% a 13,4% em adultos . No Brasil, a prevalência é de aproximadamente 10,2% na população adulta . O rastreamento precoce visa identificar estágios iniciais para retardar a progressão .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",sus.indicacao,"SUS screening indication","Rastreamento recomendado para indivíduos com fatores de risco como diabetes mellitus, hipertensão arterial, doenças cardiovasculares, idade superior a 60 anos, história familiar de DRC, obesidade e tabagismo .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",sus.populacaoAlvo,"SUS target population","Adultos maiores de 18 anos com fatores de risco cardiovascular ou renal; priorizar pacientes com diabetes e hipertensão .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",sus.periodicidade,"SUS screening frequency","Anual para grupos de alto risco; a cada 1-2 anos para populações de risco moderado .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",sociedadesMedicas.indicacao,"Medical societies screening indication","A KDIGO (2024) recomenda avaliação de TFG e albuminúria em adultos com fatores de risco, incluindo diabetes, hipertensão, idade >60 anos, histórico familiar e marcadores de risco cardiovascular . A Sociedade Brasileira de Nefrologia (2022) endossa rastreamento similar para detecção precoce .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",epidemiologia.prevalencia,"Prevalence data","A prevalência global de DRC é de 9,1% a 13,4% em adultos, afetando cerca de 700 milhões de pessoas . No Brasil, estima-se em 10,2% da população adulta .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",epidemiologia.incidencia,"Incidence data","A incidência global é de aproximadamente 133 casos por milhão de habitantes por ano . No Brasil, a incidência anual é de cerca de 120-150 por milhão .","","","","","","","",""
doenca-renal-cronica,"Rastreamento de Doença Renal Crônica",epidemiologia.mortalidade,"Mortality data","A DRC contribui para 4,9 milhões de mortes globais em 2021, sendo a 9ª causa principal . No Brasil, representa cerca de 5% das mortes por doenças crônicas não transmissíveis .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",titulo,"Module title","Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",descricao,"Module description","A Doença Pulmonar Obstrutiva Crônica (DPOC) é uma doença respiratória crônica progressiva, caracterizada por limitação ao fluxo aéreo, sendo uma das principais causas de morbimortalidade global . O rastreamento visa identificar casos precocemente em populações de risco por meio de espirometria, reduzindo complicações e mortalidade . No contexto brasileiro, a DPOC afeta significativamente o sistema de saúde pública .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",sus.indicacao,"SUS screening indication","Rastreamento recomendado para indivíduos com sintomas respiratórios crônicos, tabagistas ou ex-tabagistas acima de 40 anos, e exposição ocupacional a poeiras ou fumos .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",sus.populacaoAlvo,"SUS target population","Adultos ≥40 anos com história de tabagismo ≥20 maços-ano, dispneia ou tosse crônica, e exposição ambiental .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",sus.periodicidade,"SUS screening frequency","Avaliação inicial com espirometria; repetição anual em casos confirmados ou de alto risco .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",sociedadesMedicas.indicacao,"Medical societies screening indication","A Global Initiative for Chronic Obstructive Lung Disease (GOLD 2024) e a Sociedade Brasileira de Pneumologia e Tisiologia (SBPT 2021) recomendam busca ativa (case-finding) em indivíduos de risco, não rastreamento populacional geral .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",epidemiologia.prevalencia,"Prevalence data","A prevalência global de DPOC em adultos >40 anos é estimada em 12,1% . No Brasil, a prevalência é de aproximadamente 13,6% em indivíduos >40 anos .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",epidemiologia.incidencia,"Incidence data","A incidência global varia de 1,5 a 2,5 casos por 1.000 pessoas-ano em populações de risco . No Brasil, estima-se 100.000 novos casos anuais .","","","","","","","",""
dpoc,"Rastreamento de Doença Pulmonar Obstrutiva Crônica (DPOC)",epidemiologia.mortalidade,"Mortality data","A DPOC é a terceira causa de morte global, com 3,23 milhões de óbitos em 2019 . No Brasil, representa cerca de 5% das mortes por doenças crônicas .","","","","","","","",""
epilepsia,"Epilepsia",titulo,"Module title","Epilepsia","","","","","","","",""
epilepsia,"Epilepsia",descricao,"Module description","A epilepsia é um distúrbio neurológico caracterizado por crises recorrentes e autolimitadas, com classificação atualizada pela ILAE considerando etiologia, comorbidades e síndrome . A identificação precoce em neonatos, lactentes e crianças é essencial para manejo . Malformações do desenvolvimento cortical estão associadas a epilepsia refratária .","","","","","","","",""
epilepsia,"Epilepsia",sus.indicacao,"SUS screening indication","Não há programa específico de rastreamento populacional no SUS para epilepsia; diagnóstico indicado por história clínica de crises recorrentes e avaliação neurológica . Recomendado em neonatos e crianças com suspeita de síndromes epilépticas .","","","","","","","",""
epilepsia,"Epilepsia",sus.populacaoAlvo,"SUS target population","Indivíduos com crises convulsivas suspeitas, neonatos, lactentes e crianças com fatores de risco como malformações corticais .","","","","","","","",""
epilepsia,"Epilepsia",sus.periodicidade,"SUS screening frequency","Avaliação imediata para diagnóstico; follow-up periódico conforme necessidade clínica, sem periodicidade fixa para rastreamento .","","","","","","","",""
epilepsia,"Epilepsia",sociedadesMedicas.indicacao,"Medical societies screening indication","A ILAE recomenda classificação e diagnóstico de síndromes epilépticas com base em idade de início, etiologia e EEG para orientação terapêutica . Identificação em neonatos e infância para manejo precoce .","","","","","","","",""
epilepsia,"Epilepsia",epidemiologia.prevalencia,"Prevalence data","A prevalência global de epilepsia é de aproximadamente 0,5-1% da população . Em neonatos e lactentes, a incidência de epilepsia é alta, afetando até 1-2% em grupos de risco . No Brasil, estima-se prevalência similar à global, em torno de 1% .","","","","","","","",""
epilepsia,"Epilepsia",epidemiologia.incidencia,"Incidence data","A incidência anual global é de 40-70 casos por 100.000 habitantes . Em neonatos, pode ser de 1-3 por 1.000 nascidos vivos .","","","","","","","",""
epilepsia,"Epilepsia",epidemiologia.mortalidade,"Mortality data","A mortalidade associada à epilepsia inclui status epilepticus com alta morbimortalidade; taxa de SUDEP é de cerca de 1 por 1.000 pacientes-ano .","","","","","","","",""
esquizofrenia,"Esquizofrenia",titulo,"Module title","Esquizofrenia","","","","","","","",""
esquizofrenia,"Esquizofrenia",descricao,"Module description","A esquizofrenia é uma síndrome heterogênea que afeta múltiplas dimensões da vida do paciente, sem cura, mas controlável com terapias farmacológicas e psicossociais . Definições inconsistentes de resistência ao tratamento limitam a pesquisa e a prática clínica . Aproximadamente 30% dos pacientes não respondem a dois ensaios adequados de antipsicóticos, caracterizando esquizofrenia resistente ao tratamento (TRS) . Consensos enfatizam a necessidade de abordagem multidimensional, incluindo monitoramento de saúde física devido a comorbidades elevadas .","","","","","","","",""
